Customer_ID,Password,Name,Age,Tenure,Income,Claims,Current_Plan,Subscription_Status
C1000,password,User 1,56,34,55057,3,Standard Plan,Inactive
C1001,password,User 2,69,14,21239,2,Premium Plan,Active
C1002,password,User 3,46,24,85661,5,Standard Plan,Inactive
C1003,password,User 4,32,36,65272,6,Standard Plan,Inactive
C1004,password,User 5,60,27,109393,3,Basic Plan,Active
C1005,password,User 6,25,9,81212,6,Basic Plan,Active
C1006,password,User 7,38,38,35398,8,Standard Plan,Active
C1007,password,User 8,56,16,76503,1,Standard Plan,Inactive
C1008,password,User 9,36,38,26638,2,Standard Plan,Inactive
C1009,password,User 10,40,21,26570,4,Standard Plan,Inactive
C1010,password,User 11,28,25,88785,2,Basic Plan,Inactive
C1011,password,User 12,28,24,29110,7,Premium Plan,Active
C1012,password,User 13,41,16,99141,9,Basic Plan,Inactive
C1013,password,User 14,53,12,32115,7,Premium Plan,Inactive
C1014,password,User 15,57,19,59062,7,Standard Plan,Inactive
C1015,password,User 16,41,24,42911,8,Premium Plan,Inactive
C1016,password,User 17,20,3,52556,3,Basic Plan,Inactive
C1017,password,User 18,39,9,98131,4,Basic Plan,Inactive
C1018,password,User 19,19,2,21969,4,Standard Plan,Inactive
C1019,password,User 20,41,17,63753,7,Basic Plan,Active
C1020,password,User 21,61,35,102811,6,Standard Plan,Inactive
C1021,password,User 22,47,21,24470,8,Basic Plan,Inactive
C1022,password,User 23,55,33,30225,7,Basic Plan,Inactive
C1023,password,User 24,19,7,43196,1,Standard Plan,Inactive
C1024,password,User 25,38,39,33669,9,Premium Plan,Active
C1025,password,User 26,50,18,57380,3,Basic Plan,Active
C1026,password,User 27,29,36,68320,5,Premium Plan,Active
C1027,password,User 28,39,5,67414,1,Basic Plan,Active
C1028,password,User 29,61,25,35577,6,Basic Plan,Active
C1029,password,User 30,42,33,108009,2,Basic Plan,Active
C1030,password,User 31,66,5,75409,2,Basic Plan,Inactive
C1031,password,User 32,44,36,48625,1,Premium Plan,Active
C1032,password,User 33,59,32,101040,7,Premium Plan,Active
C1033,password,User 34,45,21,44089,5,Basic Plan,Inactive
C1034,password,User 35,33,20,56487,0,Basic Plan,Active
C1035,password,User 36,32,5,85838,0,Premium Plan,Inactive
C1036,password,User 37,64,5,116999,6,Standard Plan,Inactive
C1037,password,User 38,68,3,114795,7,Standard Plan,Active
C1038,password,User 39,61,29,70138,4,Premium Plan,Inactive
C1039,password,User 40,69,10,62823,4,Basic Plan,Active
C1040,password,User 41,20,29,57208,3,Basic Plan,Active
C1041,password,User 42,54,30,74061,5,Standard Plan,Inactive
C1042,password,User 43,68,23,50659,5,Standard Plan,Inactive
C1043,password,User 44,24,8,51890,2,Premium Plan,Active
C1044,password,User 45,38,2,99134,8,Standard Plan,Inactive
C1045,password,User 46,26,30,67055,6,Premium Plan,Inactive
